# Delta_t(hrs) p(Delta_t|Omega)
1.000000e+00 1.142204e-03
1.263848e+00 1.194496e-03
1.597312e+00 1.220712e-03
2.018760e+00 1.210136e-03
2.551407e+00 1.160877e-03
3.224591e+00 1.074294e-03
4.075393e+00 9.603963e-04
5.150678e+00 8.303914e-04
6.509675e+00 7.043704e-04
8.227241e+00 5.982180e-04
1.039798e+01 5.087976e-04
1.314147e+01 4.334624e-04
1.660883e+01 3.699804e-04
2.099104e+01 3.164692e-04
2.652948e+01 2.713429e-04
3.352924e+01 2.332648e-04
4.237587e+01 2.011096e-04
5.355667e+01 1.739297e-04
6.768750e+01 1.509275e-04
8.554673e+01 1.314317e-04
1.081181e+02 1.148769e-04
1.366448e+02 1.007871e-04
1.726983e+02 8.876140e-05
2.182645e+02 7.846203e-05
2.758532e+02 6.960452e-05
3.486365e+02 6.194946e-05
4.406236e+02 5.529532e-05
5.568814e+02 4.947274e-05
7.038136e+02 4.433951e-05
8.895135e+02 3.977687e-05
1.124210e+03 3.568650e-05
1.420831e+03 3.198849e-05
1.795714e+03 2.861944e-05
2.269511e+03 2.553054e-05
2.868317e+03 2.268530e-05
3.625117e+03 2.005678e-05
4.581598e+03 1.762516e-05
5.790444e+03 1.537559e-05
7.318242e+03 1.329656e-05
9.249147e+03 1.138183e-05
1.168952e+04 9.626867e-06
1.477378e+04 8.031712e-06
1.867181e+04 6.599517e-06
2.359833e+04 5.334781e-06
2.982471e+04 4.240695e-06
3.769391e+04 3.316333e-06
4.763938e+04 2.554772e-06
6.020894e+04 1.942821e-06
7.609497e+04 1.462294e-06
9.617249e+04 1.092153e-06
1.215474e+05 8.108388e-07
1.536175e+05 5.983996e-07
1.941492e+05 4.381053e-07
2.453751e+05 3.171581e-07
3.101169e+05 2.247053e-07
3.919407e+05 1.564834e-07
4.953535e+05 1.065659e-07
6.260517e+05 7.178013e-08
7.912343e+05 4.697841e-08
1.000000e+06 2.962076e-08
