# Delta_t(hrs) p(Delta_t|Omega)
1.000000e+00 6.190409e-04
1.263848e+00 6.384077e-04
1.597312e+00 6.443512e-04
2.018760e+00 6.318503e-04
2.551407e+00 6.002496e-04
3.224591e+00 5.504542e-04
4.075393e+00 4.876175e-04
5.150678e+00 4.173629e-04
6.509675e+00 3.498606e-04
8.227241e+00 2.932272e-04
1.039798e+01 2.457334e-04
1.314147e+01 2.059213e-04
1.660883e+01 1.725630e-04
2.099104e+01 1.446240e-04
2.652948e+01 1.212336e-04
3.352924e+01 1.016592e-04
4.237587e+01 8.528440e-05
5.355667e+01 7.159104e-05
6.768750e+01 6.014367e-05
8.554673e+01 5.057651e-05
1.081181e+02 4.258249e-05
1.366448e+02 3.590396e-05
1.726983e+02 3.032482e-05
2.182645e+02 2.566399e-05
2.758532e+02 2.176974e-05
3.486365e+02 1.851508e-05
4.406236e+02 1.579377e-05
5.568814e+02 1.351698e-05
7.038136e+02 1.161049e-05
8.895135e+02 1.001235e-05
1.124210e+03 8.670866e-06
1.420831e+03 7.542964e-06
1.795714e+03 6.592762e-06
2.269511e+03 5.790383e-06
2.868317e+03 5.110942e-06
3.625117e+03 4.533681e-06
4.581598e+03 4.041276e-06
5.790444e+03 3.619240e-06
7.318242e+03 3.254141e-06
9.249147e+03 2.938796e-06
1.168952e+04 2.663019e-06
1.477378e+04 2.419669e-06
1.867181e+04 2.202718e-06
2.359833e+04 2.007069e-06
2.982471e+04 1.828443e-06
3.769391e+04 1.663324e-06
4.763938e+04 1.508933e-06
6.020894e+04 1.363238e-06
7.609497e+04 1.224919e-06
9.617249e+04 1.093276e-06
1.215474e+05 9.680459e-07
1.536175e+05 8.492056e-07
1.941492e+05 7.368115e-07
2.453751e+05 6.309657e-07
3.101169e+05 5.266597e-07
3.919407e+05 4.318232e-07
4.953535e+05 3.450748e-07
6.260517e+05 2.711493e-07
7.912343e+05 2.053482e-07
1.000000e+06 1.493072e-07
