# Delta_t(hrs) p(Delta_t|Omega)
1.000000e+00 3.177527e-03
1.263848e+00 3.368663e-03
1.597312e+00 3.484156e-03
2.018760e+00 3.485980e-03
2.551407e+00 3.365868e-03
3.224591e+00 3.125983e-03
4.075393e+00 2.798496e-03
5.150678e+00 2.422370e-03
6.509675e+00 2.059180e-03
8.227241e+00 1.749929e-03
1.039798e+01 1.486636e-03
1.314147e+01 1.262502e-03
1.660883e+01 1.071735e-03
2.099104e+01 9.093996e-04
2.652948e+01 7.712884e-04
3.352924e+01 6.538156e-04
4.237587e+01 5.539248e-04
5.355667e+01 4.690111e-04
6.768750e+01 3.968539e-04
8.554673e+01 3.355607e-04
1.081181e+02 2.835180e-04
1.366448e+02 2.393506e-04
1.726983e+02 2.018863e-04
2.182645e+02 1.701259e-04
2.758532e+02 1.432176e-04
3.486365e+02 1.204352e-04
4.406236e+02 1.011595e-04
5.568814e+02 8.486283e-05
7.038136e+02 7.109536e-05
8.895135e+02 5.947400e-05
1.124210e+03 4.967271e-05
1.420831e+03 4.141429e-05
1.795714e+03 3.446315e-05
2.269511e+03 2.861917e-05
2.868317e+03 2.371241e-05
3.625117e+03 1.959851e-05
4.581598e+03 1.615488e-05
5.790444e+03 1.327740e-05
7.318242e+03 1.087709e-05
9.249147e+03 8.880316e-06
1.168952e+04 7.222631e-06
1.477378e+04 5.850099e-06
1.867181e+04 4.717010e-06
2.359833e+04 3.784645e-06
2.982471e+04 3.020223e-06
3.769391e+04 2.396008e-06
4.763938e+04 1.888548e-06
6.020894e+04 1.478037e-06
7.609497e+04 1.147760e-06
9.617249e+04 8.836436e-07
1.215474e+05 6.738580e-07
1.536175e+05 5.084873e-07
1.941492e+05 3.792396e-07
2.453751e+05 2.791980e-07
3.101169e+05 2.009970e-07
3.919407e+05 1.423425e-07
4.953535e+05 9.852020e-08
6.260517e+05 6.739079e-08
7.912343e+05 4.468551e-08
1.000000e+06 2.840388e-08
